date,title,icon,link,time,desc,pole
2026-02-02,Réunion générale,https://artepoly.agepoly.ch/wp-content/uploads/icons/general.png,,,DIA005,Réunion
2026-02-09,Réunion générale,https://artepoly.agepoly.ch/wp-content/uploads/icons/general.png,,,DIA005,Réunion
2026-02-16,Réunion générale,https://artepoly.agepoly.ch/wp-content/uploads/icons/general.png,,,DIA005,Réunion
2026-02-23,Réunion générale,https://artepoly.agepoly.ch/wp-content/uploads/icons/general.png,,,DIA005,Réunion

2026-03-04,Projection Japon,https://artepoly.agepoly.ch/wp-content/uploads/icons/cinema.png,,19:15,CE 1 5,Cinéma

2026-03-04,Atelier pancartes 8 mars,https://artepoly.agepoly.ch/wp-content/uploads/icons/workshop.png,,15:00,CO010,Workshop

2026-03-11,Projection Liban,https://artepoly.agepoly.ch/wp-content/uploads/icons/cinema.png,,19:15,SV1717,Cinéma

2026-03-18,Crocheters with a Cause,https://artepoly.agepoly.ch/wp-content/uploads/icons/workshop.png,,17:30,AA1 08,Workshop

2026-03-25,Talent Show,https://artepoly.agepoly.ch/wp-content/uploads/icons/event.png,,,Talents du campus,Événement

2026-03-26,SWAGAZOUILLE,https://artepoly.agepoly.ch/wp-content/uploads/icons/swag.png,,16:00,Entrée libre avant 19h,SWAG

2026-03-27,Projection Inde,https://artepoly.agepoly.ch/wp-content/uploads/icons/cinema.png,,19:00,SV1717,Cinéma
